ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Embryo,Eucypris,Illyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oligochaete,Gastropod,Tardigrade,Nematode,Hyallela,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Streblocerus,Amphipod,Ilyocryptus,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled
RRCAN_11/9/2020_10:00,20,220,0,180,0,0,20,0,60,0,0,0,0,0,4860,20,40,0,0,0,180,0,0,40,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11/9/20,RRCAN,10:00,11.22,690.1,935.4,608,0.46,77.7,8.48,8.59,38.83,60.76,2.71,87217,87905,2,,1.306885127
RRCAN_11/16/2020_8:50,0,0,7.692307692,92.30769231,0,0,84.61538462,0,0,0,0,0,0,0,930.7692308,0,100,0,15.38461538,0,0,0,0,30.76923077,0,15.38461538,0,492.3076923,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/16/20,RRCAN,8:50,11.199,625.6,848.5,551,0.42,87.8,9.6,8.46,24.19,37.7,2.18,97297,98001,1,,1.337277804
RRCAN_11/23/2020_8:40,0,0,0,1166.666667,0,400,100,66.66666667,0,0,0,0,16.66666667,0,666.6666667,0,316.6666667,0,33.33333333,0,0,0,0,16.66666667,0,0,0,1583.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/23/20,RRCAN,8:40,10.228,657.5,914.9,595,0.45,55.7,6.23,8.04,33.27,13.64,1.51,111083,111747,2,,1.261296111
RRCAN_11/30/2020_8:45,0,0,0,1650,0,25,25,0,0,0,0,0,50,0,875,0,87.5,0,12.5,0,0,0,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/30/20,RRCAN,8:45,7.688,603.8,900.5,585,0.45,87.1,10.33,8.37,23.17,30.44,2.21,126275,126928,1,,1.240401145
RRCAN_12/8/2020_8:25,0,0,0,1300,0,16.66666667,500,183.3333333,16.66666667,0,0,0,0,0,66.66666667,0,250,0,16.66666667,0,0,0,0,16.66666667,0,0,0,10066.66667,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/8/20,RRCAN,8:25,8.413,767.7,1122.6,729,0.56,89.7,10.47,8.21,30.16,2.46,2.07,153635,154309,2,,1.280291534
RRCAN_12/15/2020_11:20,0,0,0,1460,0,0,260,100,0,0,0,0,0,0,300,0,560,0,40,0,0,0,0,0,0,0,0,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/15/20,RRCAN,11:20,9.631,797.6,1127.8,734,0.56,96.6,10.95,8.34,40.21,20.83,1.62,179453,180013,2,,1.063743708
RRCAN_12/22/2020_8:30,0,0,0,2100,0,0,350,1500,0,0,0,0,0,0,250,0,200,0,150,0,0,0,0,100,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/20,RRCAN,8:30,7.971,781,115.8,751,0.58,74.1,8.74,8.22,35.14,17.09,1.71,196650,197289,2,,1.213807552
RRCAN_12/29/2020_8:20,0,0,0,945.4545455,0,0,72.72727273,290.9090909,0,0,0,0,0,0,636.3636364,0,272.7272727,0,0,0,0,0,327.2727273,0,0,0,0,37000,18.18181818,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/29/20,RRCAN,8:20,7.612,759.5,1135.6,739,0.57,82.9,9.86,8.16,36.05,21.91,2.28,219437,220095,2,,1.249898857
RRCAN_1/5/2021_8:35,0,50,0,1050,0,0,200,1800,0,0,0,0,0,50,950,0,150,0,200,0,0,0,0,100,0,0,0,6250,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/5/21,RRCAN,8:35,9.334,586.4,836.2,544,0.41,78.4,8.96,7.97,42.52,14.94,1.79,235813,236494,2,,1.293588331
RRCAN_1/12/2021_8:20,0,0,200,3333.333333,0,200,400,933.3333333,66.66666667,0,0,0,866.6666667,0,2466.666667,0,2400,0,200,0,0,0,266.6666667,66.66666667,0,0,0,8866.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/12/21,RRCAN,8:20,8.674,767.3,1035.7,673,0.52,77.2,8.96,7.86,71.35,6.75,1.39,266462,267113,2,,1.23660206
